State Postal Code,State FIPS,District ID Number,School District Name,County Names,County FIPS
NY,36,14400,Highland Central School District,Ulster County,111
NY,36,14430,Highland Falls Central School District,Orange County,071
NY,36,14460,Hilton Central School District,Monroe County,055
NY,36,14490,Hinsdale Central School District,Allegany County,003
NY,36,14490,Hinsdale Central School District,Cattaraugus County,009
NY,36,14550,Holland Central School District,Erie County,029
NY,36,14550,Holland Central School District,Wyoming County,121
NY,36,14580,Holland Patent Central School District,Herkimer County,043
NY,36,14580,Holland Patent Central School District,Oneida County,065
NY,36,14610,Holley Central School District,Monroe County,055
NY,36,14610,Holley Central School District,Orleans County,073
NY,36,14640,Homer Central School District,Cayuga County,011
NY,36,14640,Homer Central School District,Cortland County,023
NY,36,14640,Homer Central School District,Onondaga County,067
NY,36,14640,Homer Central School District,Tompkins County,109
NY,36,14670,Honeoye Central School District,Livingston County,051
NY,36,14670,Honeoye Central School District,Ontario County,069
NY,36,14700,Honeoye Falls-Lima Central School District,Livingston County,051
NY,36,14700,Honeoye Falls-Lima Central School District,Monroe County,055
NY,36,14700,Honeoye Falls-Lima Central School District,Ontario County,069
NY,36,14730,Hoosic Valley Central School District,Rensselaer County,083
NY,36,14730,Hoosic Valley Central School District,Washington County,115
NY,36,14760,Hoosick Falls Central School District,Rensselaer County,083
NY,36,14760,Hoosick Falls Central School District,Washington County,115
NY,36,14820,Hornell City School District,Steuben County,101
NY,36,14850,Horseheads Central School District,Chemung County,015
NY,36,14850,Horseheads Central School District,Schuyler County,097
NY,36,14940,Hudson City School District,Columbia County,021
NY,36,14970,Hudson Falls Central School District,Saratoga County,091
NY,36,14970,Hudson Falls Central School District,Warren County,113
NY,36,14970,Hudson Falls Central School District,Washington County,115
NY,36,15060,Hunter-Tannersville Central School District,Greene County,039
NY,36,15090,Huntington Union Free School District,Suffolk County,103
NY,36,15180,Hyde Park Central School District,Dutchess County,027
NY,36,15270,Indian Lake Central School District,Hamilton County,041
NY,36,15300,Indian River Central School District,Jefferson County,045
NY,36,15300,Indian River Central School District,St. Lawrence County,089
NY,36,15330,Inlet Common School District,Hamilton County,041
NY,36,15360,Iroquois Central School District,Erie County,029
NY,36,15360,Iroquois Central School District,Wyoming County,121
NY,36,15450,Irvington Union Free School District,Westchester County,119
NY,36,15480,Island Park Union Free School District,Nassau County,059
NY,36,15510,Island Trees Union Free School District,Nassau County,059
NY,36,15540,Islip Union Free School District,Suffolk County,103
NY,36,15570,Ithaca City School District,Tioga County,107
NY,36,15570,Ithaca City School District,Tompkins County,109
NY,36,15630,Jamestown City School District,Chautauqua County,013
NY,36,09090,Jamesville-DeWitt Central School District,Onondaga County,067
NY,36,00007,Jasper-Troupsburg Central School District,Steuben County,101
NY,36,15720,Jefferson Central School District,Delaware County,025
NY,36,15720,Jefferson Central School District,Schoharie County,095
NY,36,15810,Jericho Union Free School District,Nassau County,059
NY,36,15870,Johnsburg Central School District,Warren County,113
NY,36,15900,Johnson City Central School District,Broome County,007
NY,36,15980,Johnstown City School District,Fulton County,035
NY,36,15980,Johnstown City School District,Montgomery County,057
NY,36,15990,Jordan-Elbridge Central School District,Cayuga County,011
NY,36,15990,Jordan-Elbridge Central School District,Onondaga County,067
NY,36,16080,Katonah-Lewisboro Union Free School District,Westchester County,119
NY,36,16140,Keene Central School District,Essex County,031
NY,36,16200,Kendall Central School District,Monroe County,055
NY,36,16200,Kendall Central School District,Orleans County,073
NY,36,16230,Kenmore-Tonawanda Union Free School District,Erie County,029
NY,36,15210,Kinderhook Central School District (Ichabod Crane),Columbia County,021
NY,36,15210,Kinderhook Central School District (Ichabod Crane),Rensselaer County,083
NY,36,16260,Kings Park Central School District,Suffolk County,103
NY,36,16290,Kingston City School District,Ulster County,111
NY,36,04758,Kiryas Joel Village Union Free School District,Orange County,071
NY,36,16380,La Fargeville Central School District,Jefferson County,045
NY,36,16410,LaFayette Central School District,Onondaga County,067
NY,36,16440,Lackawanna City School District,Erie County,029
NY,36,16470,Lake George Central School District,Warren County,113
NY,36,16470,Lake George Central School District,Washington County,115
NY,36,16500,Lake Placid Central School District,Essex County,031
NY,36,16530,Lake Pleasant Central School District,Hamilton County,041
NY,36,16620,Lakeland Central School District,Putnam County,079
NY,36,16620,Lakeland Central School District,Westchester County,119
NY,36,16680,Lancaster Central School District,Erie County,029
NY,36,16710,Lansing Central School District,Tompkins County,109
NY,36,16740,Lansingburgh Central School District,Rensselaer County,083
NY,36,16800,Laurens Central School District,Otsego County,077
NY,36,16830,Lawrence Union Free School District,Nassau County,059
NY,36,16950,Le Roy Central School District,Genesee County,037
NY,36,16950,Le Roy Central School District,Livingston County,051
NY,36,17130,Letchworth Central School District,Allegany County,003
NY,36,17130,Letchworth Central School District,Wyoming County,121
NY,36,17160,Levittown Union Free School District,Nassau County,059
NY,36,17190,Lewiston-Porter Central School District,Niagara County,063
NY,36,17220,Liberty Central School District,Sullivan County,105
NY,36,17380,Lindenhurst Union Free School District,Suffolk County,103
NY,36,17430,Lisbon Central School District,St. Lawrence County,089
NY,36,17460,Little Falls City School District,Herkimer County,043
NY,36,17520,Liverpool Central School District,Onondaga County,067
NY,36,17580,Livingston Manor Central School District,Delaware County,025
NY,36,17580,Livingston Manor Central School District,Sullivan County,105
NY,36,17580,Livingston Manor Central School District,Ulster County,111
NY,36,17640,Livonia Central School District,Livingston County,051
NY,36,17640,Livonia Central School District,Ontario County,069
NY,36,17670,Lockport City School District,Niagara County,063
NY,36,17700,Locust Valley Central School District,Nassau County,059
NY,36,17730,Long Beach City School District,Nassau County,059
NY,36,17760,Long Lake Central School District,Hamilton County,041
NY,36,19230,Longwood Central School District,Suffolk County,103
NY,36,17820,Lowville Academy and Central School District,Lewis County,049
NY,36,17880,Lyme Central School District,Jefferson County,045
NY,36,17910,Lynbrook Union Free School District,Nassau County,059
NY,36,17940,Lyncourt Union Free School District,Onondaga County,067
NY,36,17970,Lyndonville Central School District,Orleans County,073
NY,36,18030,Lyons Central School District,Ontario County,069
NY,36,18030,Lyons Central School District,Seneca County,099
NY,36,18030,Lyons Central School District,Wayne County,117
NY,36,18080,Madison Central School District,Madison County,053
NY,36,18080,Madison Central School District,Oneida County,065
NY,36,18090,Madrid-Waddington Central School District,St. Lawrence County,089
NY,36,18120,Mahopac Central School District,Putnam County,079
NY,36,18150,Maine-Endwell Central School District,Broome County,007
NY,36,18150,Maine-Endwell Central School District,Tioga County,107
NY,36,18180,Malone Central School District,Franklin County,033
NY,36,18210,Malverne Union Free School District,Nassau County,059
NY,36,18240,Mamaroneck Union Free School District,Westchester County,119
NY,36,24270,Manchester-Shortsville Central School District,Ontario County,069
NY,36,18270,Manhasset Union Free School District,Nassau County,059
NY,36,18450,Marathon Central School District,Broome County,007
NY,36,18450,Marathon Central School District,Cortland County,023
NY,36,18450,Marathon Central School District,Tioga County,107
NY,36,18480,Marcellus Central School District,Onondaga County,067
NY,36,18510,Margaretville Central School District,Delaware County,025
NY,36,18510,Margaretville Central School District,Greene County,039
NY,36,18510,Margaretville Central School District,Ulster County,111
NY,36,18540,Marion Central School District,Wayne County,117
NY,36,18570,Marlboro Central School District,Orange County,071
NY,36,18570,Marlboro Central School District,Ulster County,111
NY,36,18630,Massapequa Union Free School District,Nassau County,059
NY,36,18660,Massena Central School District,St. Lawrence County,089
NY,36,00021,Mattituck-Cutchogue Union Free School District,Suffolk County,103
NY,36,18750,Mayfield Central School District,Fulton County,035
NY,36,18840,McGraw Central School District,Cortland County,023
NY,36,18900,Mechanicville City School District,Rensselaer County,083
NY,36,18900,Mechanicville City School District,Saratoga County,091
NY,36,18960,Medina Central School District,Genesee County,037
NY,36,18960,Medina Central School District,Niagara County,063
NY,36,18960,Medina Central School District,Orleans County,073
NY,36,18990,Menands Union Free School District,Albany County,001
NY,36,19110,Merrick Union Free School District,Nassau County,059
NY,36,19170,Mexico Central School District,Oswego County,075
NY,36,19200,Middle Country Central School District,Suffolk County,103
NY,36,19260,Middleburgh Central School District,Albany County,001
NY,36,19260,Middleburgh Central School District,Schoharie County,095
NY,36,19320,Middletown City School District,Orange County,071
NY,36,19350,Milford Central School District,Otsego County,077
NY,36,19380,Millbrook Central School District,Dutchess County,027
NY,36,19410,Miller Place Union Free School District,Suffolk County,103
NY,36,19500,Mineola Union Free School District,Nassau County,059
NY,36,19530,Minerva Central School District,Essex County,031
NY,36,19530,Minerva Central School District,Warren County,113
NY,36,19560,Minisink Valley Central School District,Orange County,071
NY,36,19560,Minisink Valley Central School District,Sullivan County,105
NY,36,19650,Monroe-Woodbury Central School District,Orange County,071
NY,36,19710,Montauk Union Free School District,Suffolk County,103
NY,36,19740,Monticello Central School District,Sullivan County,105
NY,36,19800,Moravia Central School District,Cayuga County,011
NY,36,19800,Moravia Central School District,Onondaga County,067
NY,36,19830,Moriah Central School District,Essex County,031
NY,36,19860,Morris Central School District,Otsego County,077
NY,36,19890,Morristown Central School District,St. Lawrence County,089
NY,36,19920,Morrisville-Eaton Central School District,Madison County,053
NY,36,30930,Mount Markham Central School District,Herkimer County,043
NY,36,30930,Mount Markham Central School District,Madison County,053
NY,36,30930,Mount Markham Central School District,Oneida County,065
NY,36,30930,Mount Markham Central School District,Otsego County,077
NY,36,20010,Mount Morris Central School District,Livingston County,051
NY,36,20160,Mount Pleasant Central School District,Westchester County,119
NY,36,20040,Mount Sinai Union Free School District,Suffolk County,103
NY,36,20100,Mount Vernon School District,Westchester County,119
NY,36,20190,Nanuet Union Free School District,Rockland County,087
NY,36,20220,Naples Central School District,Livingston County,051
NY,36,20220,Naples Central School District,Ontario County,069
NY,36,20220,Naples Central School District,Steuben County,101
NY,36,20220,Naples Central School District,Yates County,123
NY,36,20370,New Hartford Central School District,Herkimer County,043
NY,36,20370,New Hartford Central School District,Oneida County,065
NY,36,20400,New Hyde Park-Garden City Park Union Free School District,Nassau County,059
NY,36,20430,New Lebanon Central School District,Columbia County,021
NY,36,20430,New Lebanon Central School District,Rensselaer County,083
NY,36,20460,New Paltz Central School District,Ulster County,111
NY,36,20490,New Rochelle City School District,Westchester County,119
NY,36,20520,New Suffolk Common School District,Suffolk County,103
NY,36,20580,New York City Department Of Education,Bronx County,005
NY,36,20580,New York City Department Of Education,Kings County,047
NY,36,20580,New York City Department Of Education,New York County,061
NY,36,20580,New York City Department Of Education,Queens County,081
NY,36,20580,New York City Department Of Education,Richmond County,085
NY,36,20610,New York Mills Union Free School District,Oneida County,065
NY,36,20640,Newark Central School District,Ontario County,069
NY,36,20640,Newark Central School District,Wayne County,117
NY,36,20670,Newark Valley Central School District,Broome County,007
NY,36,20670,Newark Valley Central School District,Cortland County,023
NY,36,20670,Newark Valley Central School District,Tioga County,107
NY,36,20670,Newark Valley Central School District,Tompkins County,109
NY,36,20700,Newburgh City School District,Orange County,071
NY,36,20730,Newcomb Central School District,Essex County,031
NY,36,20760,Newfane Central School District,Niagara County,063
NY,36,20790,Newfield Central School District,Tompkins County,109
NY,36,20820,Niagara Falls City School District,Niagara County,063
NY,36,20850,Niagara-Wheatfield Central School District,Niagara County,063
NY,36,20880,Niskayuna Central School District,Albany County,001
NY,36,20880,Niskayuna Central School District,Saratoga County,091
NY,36,20880,Niskayuna Central School District,Schenectady County,093
NY,36,20910,North Babylon Union Free School District,Suffolk County,103
NY,36,20940,North Bellmore Union Free School District,Nassau County,059
NY,36,20970,North Collins Central School District,Erie County,029
NY,36,21000,North Colonie Central School District,Albany County,001
NY,36,31410,North Greenbush Common School District (Williams),Rensselaer County,083
NY,36,21120,North Merrick Union Free School District,Nassau County,059
NY,36,16980,North Rose-Wolcott Central School District,Wayne County,117
NY,36,21180,North Salem Central School District,Putnam County,079
NY,36,21180,North Salem Central School District,Westchester County,119
NY,36,26370,North Shore Central School District,Nassau County,059
NY,36,21210,North Syracuse Central School District,Onondaga County,067
NY,36,21240,North Tonawanda City School District,Niagara County,063
NY,36,16960,North Warren Central School District,Essex County,031
NY,36,16960,North Warren Central School District,Warren County,113
NY,36,30390,Northeast Central School District,Columbia County,021
NY,36,30390,Northeast Central School District,Dutchess County,027
NY,36,21250,Northeastern Clinton Central School District,Clinton County,019
NY,36,21260,Northern Adirondack Central School District,Clinton County,019
NY,36,21260,Northern Adirondack Central School District,Franklin County,033
NY,36,21270,Northport-East Northport Union Free School District,Suffolk County,103
NY,36,21300,Northville Central School District,Fulton County,035
