Title,Author,Secondary Author(s),Illustrator(s),Translator(s),Series Name,State,District,Date of Challenge/Removal,Ban Status,Origin of Challenge
And Still I Rise: Black America Since MLK,"Gates, Henry L.","Burke, Kevin M.",,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Antonio's Card/La tarjeta de Antonio,"González, Rigoberto",,"Álvarez, Cecilia",,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Aristotle and Dante Discover the Secrets of the Universe,"Sáenz, Benjamin Alire",,,,Aristotle and Dante,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
As I Descended,"Talley, Robin",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Ash,"Lo, Malinda",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Brave Face: A Memoir,"Hutchinson, Shaun David",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Dateable: Are You? Are They?,"Lookadoo, Justin","DiMarco, Hayley",,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Dear Diary, I'm Pregnant: Teenagers Talk About their Pregnancy","Englander, Anrenee",,"Martchenko, Michael",,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Drama: A Graphic Novel,"Telgemeier, Raina",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
From the Notebooks of Melanin Sun,"Woodson, Jacqueline",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Gender Identity (Teen Mental Health),"Petrikowski, Nicki Peter",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Gender Issues (Living with a Special Need),"McIntosh, Kenneth","Walker, Ida",,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Girl, (Nearly) 16: Absolute Torture","Limb, Sue",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Glitter,"Daniels, Babygirl",,,,Babygirl Dramas,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Grown in 60 Seconds,"Lee, Darrien",,,,Denim Diaries,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Hands Up!,"McDaniel, Breanna J.",,"Evans, Shane W.",,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
I'll Give You the Sun,"Nelson, Jandy",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Infinity Son,"Silvera, Adam",,,,Infinity Cycle,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Melissa (George),"Gino, Alex",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Odd One Out,"Stone, Nic",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Ordinary Hazards,"Grimes, Nikki",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Out of Darkness,"Pérez, Ashley Hope",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Peaceful Fights for Equal Rights,"Sanders, Rob",,"Schorr, Jared Andrew",,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Queer, There and Everywhere: 23 People Who Changed the World","Prager, Sarah",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Reluctantly Alice,"Naylor, Phyllis Reynolds",,,,Alice,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Separate Is Never Equal: Sylvia Mendez and Her Family’s Fight for Desegregation,"Tonatiuh, Duncan",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Shirley Jackson's ""The Lottery"": The Authorized Graphic Adaptation","Hyman, Miles",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Simon vs. the Homo Sapiens Agenda,"Albertalli, Becky",,,,Simonverse,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Sonny's House of Spies,"Lyon, George Ella",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Striving for Equality: LGBTQ Athletes Claim the Field,"Cronn-Mills, Kirstin",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Symptoms of Being Human,"Garvin, Jeff",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Tattoo Atlas,"Floreen, Tim",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Teenage Sex and Pregnancy,"Parks, Peggy J.",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Teens and LGBT Issues,"Wilcox, Christine",,,,Compact Research: Teen Well-Being,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Bridge,"Konigsberg, Bill",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Girls I've Been,"Sharpe, Tess",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Great American Whatever,"Federle, Tim",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Grief Keeper,"Villasante, Alexandra",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"The Teenage Guy's Survival Guide: The Real Deal on Going Out, Growing Up, and Other Guy Stuff","Daldry, Jeremy",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Test,"Kern, Peggy",,,,Bluford High,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
The You I've Never Known,"Hopkins, Ellen",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
They Both Die at the End,"Silvera, Adam",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
They Called Themselves The K.K.K.: The Birth of an American Terrorist Group,"Bartoletti, Susan Campbell",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
This Book Is Gay,"Dawson, Juno",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Transgender Lives: Complex Stories, Complex Voices","Cronn-Mills, Kirstin",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Two Boys Kissing,"Levithan, David",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
We March,"Evans, Shane W.",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
"Will Grayson, Will Grayson","Green, John","Levithan, David",,,"Will Grayson, Will Grayson",Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Willful Machines,"Floreen, Tim",,,,,Texas,Texarkana Independent School District,Oct-22,Banned Pending Investigation,Informal Challenge
Ana on the Edge,"Sass, A. J.",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
"Big Bob, Little Bob","Howe, James",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Calvin,"Ford, J. R.",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Frankie & Bug,"Forman, Gayle",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Fred Gets Dressed,"Brown, Peter",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Gracefully Grayson,"Polonsky, Ami",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
It Feels Good To Be Yourself: A Book About Gender Identity,"Thorn, Theresa",,"Grigni, Noah",,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Letter from Birmingham Jail,"King Jr., Martin Luther",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Lily and Dunkin,"Gephart, Donna",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Melissa (George),"Gino, Alex",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Morris Micklewhite and the Tangerine Dress,"Baldacchino, Christine",,"Malenfant, Isabelle",,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
My Princess Boy,"Kilodavis, Cheryl",,"DeSimone, Suzanne",,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
My Rainbow,"Neal, DeShanna",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Pride: The Story of Harvey Milk and the Rainbow Flag,"Sanders, Rob",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Rick,"Gino, Alex",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
"Roll of Thunder, Hear My Cry","Taylor, Mildred D.",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
The 1619 Project: Born on the Water,"Hannah-Jones, Nikole","Watson, Renée","Smith, Nikkolas",,,Florida,The School District of Palm Beach County,Jul-22,Banned from Classrooms,Legislative Action
The Hate U Give,"Thomas, Angie",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
The Pants Project,"Clarke, Cat",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
To Kill a Mockingbird,"Lee, Harper",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned Pending Investigation,Legislative Action
Too Bright to See,"Lukoff, Kyle",,,,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
When Aidan Became a Brother,"Lukoff, Kyle",,"Juanita, Kaylani",,,Florida,The School District of Palm Beach County,Jul-22,Banned from Libraries,Legislative Action
Flamer,"Curato, Mike",,,,,Oklahoma,Tulsa Public Schools,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Gender Queer: A Memoir,"Kobabe, Maia",,,,,Oklahoma,Tulsa Public Schools,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Florida,Volusia County Schools,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
All Boys Aren't Blue,"Johnson, George M.",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
All the Things We Do in the Dark,"Mitchell, Saundra",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Allegedly,"Jackson, Tiffany D.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Almost Perfect,"Katcher, Brian",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Anne Frank's Diary: The Graphic Adaptation,"Folman, Ari","Frank, Anne","Polonsky, David",,,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Ask the Passengers,"King, A. S.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Boy Girl Boy,"Koertge, Ron",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Bumped,"McCafferty, Megan",,,,Bumped,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Burned (EH),"Hopkins, Ellen",,,,Burned,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Clockwork Princess,"Clare, Cassandra",,,,The Infernal Devices,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Collateral,"Hopkins, Ellen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Crank,"Hopkins, Ellen",,,,Crank,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Damsel,"Arnold, Elana K.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Darius the Great Deserves Better,"Khorram, Adib",,,,Darius the Great,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Dumplin',"Murphy, Julie",,,,Dumplin',Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Eleanor & Park,"Rowell, Rainbow",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Emergency Contact,"Choi, Mary H.K.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Fade,"McMann, Lisa",,,,Wake,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Fallout,"Hopkins, Ellen",,,,Crank,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Felix Ever After,"Callender, Kacen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Flamer,"Curato, Mike",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries and Classrooms,Administration
Forever...,"Blume, Judy",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Fun Home: A Family Tragicomic,"Bechdel, Alison",,,,,Florida,Volusia County Schools,Sep-22,Banned from Libraries and Classrooms,Formal Challenge
"Gabi, a Girl in Pieces","Quintero, Isabel",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Glass,"Hopkins, Ellen",,,,Crank,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Go Ask Alice,"Sparks, Beatrice",Anonymous,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Grit,"French, Gillian",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Grown,"Jackson, Tiffany D.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Guyaholic,"Mackler, Carolyn",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Heroine,"McGinnis, Mindy",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
I Am Not Your Perfect Mexican Daughter,"Sánchez, Erika L.",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
I'll Give You the Sun,"Nelson, Jandy",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Identical,"Hopkins, Ellen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Impulse,"Hopkins, Ellen",,,,Impulse,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Kingdom of Ash,"Maas, Sarah J.",,,,Throne of Glass,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
"l8r, g8r","Myracle, Lauren",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Last Night at the Telegraph Club,"Lo, Malinda",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Laura Dean Keeps Breaking Up with Me,"Tamaki, Mariko",,"Valero-O'Connell, Rosemary",,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Little & Lion,"Colbert, Brandy",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Living Dead Girl,"Scott, Elizabeth",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Looking for Alaska,"Green, John",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
Lucky,"Sebold, Alice",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Me and Earl and the Dying Girl,"Andrews, Jesse",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
More Happy Than Not,"Silvera, Adam",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Neanderthal Opens the Door to the Universe,"Norton, Preston",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Nineteen Minutes,"Picoult, Jodi",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Out of Darkness,"Pérez, Ashley Hope",,,,,Florida,Volusia County Schools,Mar-23,Banned from Libraries,Administration
People Kill People,"Hopkins, Ellen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Ramona Blue,"Murphy, Julie",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Red at the Bone,"Woodson, Jacqueline",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Red Hood,"Arnold, Elana K.",,,,,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
"Red, White, and Royal Blue","McQuiston, Casey",,,,,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Relish: My Life in the Kitchen,"Knisley, Lucy",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries,Administration
Rumble,"Hopkins, Ellen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Scars,"Rainfield, Cheryl",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Slaughterhouse-Five,"Vonnegut Jr., Kurt",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Smoke,"Hopkins, Ellen",,,,Impulse,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Sold,"McCormick, Patricia",,,,,Florida,Volusia County Schools,Mar-23,Banned from Libraries,Administration
The 57 Bus: A True Story of Two Teenagers and the Crime That Changed Their Lives,"Slater, Dashka",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Black Flamingo,"Atta, Dean",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
The Bluest Eye,"Morrison, Toni",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Carnival at Bray,"Foley, Jessie Ann",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Handmaid's Tale,"Atwood, Margaret",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Handsome Girl & Her Beautiful Boy,"Gottfred, B. T.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Infinite Moment of Us,"Myracle, Lauren",,,,,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
The Lovely Bones,"Sebold, Alice",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Midnight Lie,"Rutkoski, Marie",,,,Forgotten Gods,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Nowhere Girls,"Reed, Amy",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Perks of Being a Wallflower,"Chbosky, Stephen",,,,,Florida,Volusia County Schools,Mar-23,Banned from Libraries,Administration
The Truth About Alice: A Novel,"Mathieu, Jennifer",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The Upside of Unrequited,"Albertalli, Becky",,,,Simonverse,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
The You I've Never Known,"Hopkins, Ellen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Thirteen Reasons Why,"Asher, Jay",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
This Book Is Gay,"Dawson, Juno",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
This One Summer,"Tamaki, Mariko",,"Tamaki, Jillian",,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Tilt,"Hopkins, Ellen",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Tower of Dawn,"Maas, Sarah J.",,,,Throne of Glass,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
Tricks,"Hopkins, Ellen",,,,Tricks,Florida,Volusia County Schools,Mar-23,Banned from Libraries and Classrooms,Administration
ttfn,"Myracle, Lauren",,,,Internet Girls,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
ttyl,"Myracle, Lauren",,,,Internet Girls,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
We Are Not Your Equal: Understanding Our Racial Divide,"Anderson, Carol","Bolden, Tonya",,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Wintergirls,"Anderson, Laurie Halse",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Yolk,"Choi, Mary H.K.",,,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
yolo,"Myracle, Lauren",,,,Internet Girls,Florida,Volusia County Schools,Jan-23,Banned from Libraries,Administration
You Too?: 25 Voices Share Their #MeToo Stories,"Gurtler, Janet","Blount, Patty; Brown, Jennifer; Brownlee, Tiffany; Capelle, Jess; Clifford, Kenna; Darrows, Eva; Davis, Dana L.; Davis, Ronni; Deen, Natasha; DiDomizio, Nicolas; Forna, Namina; Glass, Jenna; Hall, Teri; Hopkins, Ellen; Lee, Mackenzi; Mitchell, Saundra; Novak, Ali; Porinchak, Eve; Rainfield, Cheryl; Revis, Beth; Rogers, Andrea L.; Seitz, Lulabel; Thrace, Mischa; Zhang, Amy",,,,Florida,Volusia County Schools,Jun-23,Banned from Libraries and Classrooms,Administration
Little Rock Nine,"Poe, Marshall",,"Linder, Ellen",,,Florida,Wakulla County School District,Mar-23,Banned from Libraries and Classrooms,Administration
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Crank,"Hopkins, Ellen",,,,Crank,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Extremely Loud & Incredibly Close,"Foer, Jonathan Safran",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
I'll Give You the Sun,"Nelson, Jandy",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Looking for Alaska,"Green, John",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Monday's Not Coming,"Jackson, Tiffany D.",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Oryx and Crake,"Atwood, Margaret",,,,MaddAddam,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Perfect,"Hopkins, Ellen",,,,Impulse,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
The Invisible Life of Addie LaRue,"Schwab, V. E.",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Thirteen Reasons Why,"Asher, Jay",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
Twisted,"Anderson, Laurie Halse",,,,,Utah,Wasatch School District,AY 2022-2023,Banned from Libraries and Classrooms,Formal Challenge
101 Questions About Reproduction: Or How 1 + 1 = 3 or 4 or More,"Brynie, Faith Hickman",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries,Administration
A Court of Frost and Starlight,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Mist and Fury,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A ​Court of Silver Flames,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Thorns and Roses,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",,,,A Court of Thorns and Roses,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
A Stolen Life,"Dugard, Jaycee",,,,,Utah,Washington County School District,Jun-23,Banned Pending Investigation,Administration
Acceptance,"VanderMeer, Jeff",,,,Southern Reach,Utah,Washington County School District,Sep-22,Banned from Libraries and Classrooms,Administration
Beautiful,"Reed, Amy",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
Blankets,"Thompson, Craig",,,,,Utah,Washington County School District,Jun-23,Banned Pending Investigation,Administration
Boy Toy,"Lyga, Barry",,,,,Utah,Washington County School District,Feb-23,Banned from Libraries and Classrooms,Administration
Breathless,"Niven, Jennifer",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Choke (SO),"Skye, Obert",,,,Pillage,Utah,Washington County School District,Mar-23,Banned from Libraries and Classrooms,Administration
Damsel,"Arnold, Elana K.",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
Dead End,"Myers, Jason",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Administration
Dreaming in Cuban,"García, Cristina",,,,,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Informal Challenge
Empire of Storms,"Maas, Sarah J.",,,,Throne of Glass,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Administration
Fallout,"Hopkins, Ellen",,,,Crank,Utah,Washington County School District,Nov-22,Banned from Libraries and Classrooms,Administration
Fight Club,"Palahniuk, Chuck",,,,Fight Club,Utah,Washington County School District,Jun-23,Banned Pending Investigation,Administration
Forever...,"Blume, Judy",,,,,Utah,Washington County School District,Jul-22,Banned from Libraries and Classrooms,Informal Challenge
